"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"01.01.2024 00:00 - 01.01.2024 00:15","41204","41015"
"01.01.2024 00:15 - 01.01.2024 00:30","40266","40718"
"01.01.2024 00:30 - 01.01.2024 00:45","39492","40583"
"01.01.2024 00:45 - 01.01.2024 01:00","38965","40023"
"01.01.2024 01:00 - 01.01.2024 01:15","38678","39745"
"01.01.2024 01:15 - 01.01.2024 01:30","38284","39396"
"01.01.2024 01:30 - 01.01.2024 01:45","37973","39017"
"01.01.2024 01:45 - 01.01.2024 02:00","37408","38727"
"01.01.2024 02:00 - 01.01.2024 02:15","37147","38801"
"01.01.2024 02:15 - 01.01.2024 02:30","36941","38428"
"01.01.2024 02:30 - 01.01.2024 02:45","37066","38051"
"01.01.2024 02:45 - 01.01.2024 03:00","37100","37674"
"01.01.2024 03:00 - 01.01.2024 03:15","37179","37695"
"01.01.2024 03:15 - 01.01.2024 03:30","36859","37501"
"01.01.2024 03:30 - 01.01.2024 03:45","36528","37425"
"01.01.2024 03:45 - 01.01.2024 04:00","36771","37413"
"01.01.2024 04:00 - 01.01.2024 04:15","36643","37365"
"01.01.2024 04:15 - 01.01.2024 04:30","36691","37001"
"01.01.2024 04:30 - 01.01.2024 04:45","36991","36994"
"01.01.2024 04:45 - 01.01.2024 05:00","37016","37179"
"01.01.2024 05:00 - 01.01.2024 05:15","37075","37751"
"01.01.2024 05:15 - 01.01.2024 05:30","37360","37533"
"01.01.2024 05:30 - 01.01.2024 05:45","37616","37388"
"01.01.2024 05:45 - 01.01.2024 06:00","37407","37077"
"01.01.2024 06:00 - 01.01.2024 06:15","37402","36983"
"01.01.2024 06:15 - 01.01.2024 06:30","38286","37171"
"01.01.2024 06:30 - 01.01.2024 06:45","38473","37099"
"01.01.2024 06:45 - 01.01.2024 07:00","38354","37216"
"01.01.2024 07:00 - 01.01.2024 07:15","39134","37399"
"01.01.2024 07:15 - 01.01.2024 07:30","39361","37693"
"01.01.2024 07:30 - 01.01.2024 07:45","39768","37881"
"01.01.2024 07:45 - 01.01.2024 08:00","40361","37917"
"01.01.2024 08:00 - 01.01.2024 08:15","41247","38098"
"01.01.2024 08:15 - 01.01.2024 08:30","41463","38158"
"01.01.2024 08:30 - 01.01.2024 08:45","42811","38569"
"01.01.2024 08:45 - 01.01.2024 09:00","43757","38738"
"01.01.2024 09:00 - 01.01.2024 09:15","44758","39682"
"01.01.2024 09:15 - 01.01.2024 09:30","45607","40132"
"01.01.2024 09:30 - 01.01.2024 09:45","46236","40600"
"01.01.2024 09:45 - 01.01.2024 10:00","46723","41047"
"01.01.2024 10:00 - 01.01.2024 10:15","47639","41743"
"01.01.2024 10:15 - 01.01.2024 10:30","48510","42408"
"01.01.2024 10:30 - 01.01.2024 10:45","48629","43039"
"01.01.2024 10:45 - 01.01.2024 11:00","49388","43768"
"01.01.2024 11:00 - 01.01.2024 11:15","50247","44489"
"01.01.2024 11:15 - 01.01.2024 11:30","50692","45023"
"01.01.2024 11:30 - 01.01.2024 11:45","50970","45677"
"01.01.2024 11:45 - 01.01.2024 12:00","51125","45936"
"01.01.2024 12:00 - 01.01.2024 12:15","51015","46188"
"01.01.2024 12:15 - 01.01.2024 12:30","50983","46262"
"01.01.2024 12:30 - 01.01.2024 12:45","50841","46460"
"01.01.2024 12:45 - 01.01.2024 13:00","50259","46254"
"01.01.2024 13:00 - 01.01.2024 13:15","50683","45879"
"01.01.2024 13:15 - 01.01.2024 13:30","49770","45716"
"01.01.2024 13:30 - 01.01.2024 13:45","49240","45683"
