"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|SE1","Actual Total Load [MW] - BZN|SE1"
"01.01.2023 00:00 - 01.01.2023 01:00","1262","1339"
"01.01.2023 01:00 - 01.01.2023 02:00","1258","1346"
"01.01.2023 02:00 - 01.01.2023 03:00","1252","1445"
"01.01.2023 03:00 - 01.01.2023 04:00","1245","1417"
"01.01.2023 04:00 - 01.01.2023 05:00","1256","1427"
"01.01.2023 05:00 - 01.01.2023 06:00","1264","1265"
"01.01.2023 06:00 - 01.01.2023 07:00","1283","1246"
"01.01.2023 07:00 - 01.01.2023 08:00","1302","1269"
"01.01.2023 08:00 - 01.01.2023 09:00","1315","1318"
"01.01.2023 09:00 - 01.01.2023 10:00","1336","1276"
"01.01.2023 10:00 - 01.01.2023 11:00","1346","1339"
"01.01.2023 11:00 - 01.01.2023 12:00","1353","1319"
"01.01.2023 12:00 - 01.01.2023 13:00","1367","1337"
"01.01.2023 13:00 - 01.01.2023 14:00","1390","1374"
"01.01.2023 14:00 - 01.01.2023 15:00","1407","1113"
"01.01.2023 15:00 - 01.01.2023 16:00","1422","1186"
"01.01.2023 16:00 - 01.01.2023 17:00","1438","1167"
"01.01.2023 17:00 - 01.01.2023 18:00","1434","1184"
"01.01.2023 18:00 - 01.01.2023 19:00","1424","1304"
"01.01.2023 19:00 - 01.01.2023 20:00","1409","1176"
"01.01.2023 20:00 - 01.01.2023 21:00","1395","1155"
"01.01.2023 21:00 - 01.01.2023 22:00","1375","1177"
"01.01.2023 22:00 - 01.01.2023 23:00","1361","1192"
"01.01.2023 23:00 - 02.01.2023 00:00","1337","1169"
"02.01.2023 00:00 - 02.01.2023 01:00","1309","1230"
"02.01.2023 01:00 - 02.01.2023 02:00","1308","1183"
"02.01.2023 02:00 - 02.01.2023 03:00","1311","1209"
"02.01.2023 03:00 - 02.01.2023 04:00","1313","1121"
"02.01.2023 04:00 - 02.01.2023 05:00","1333","1178"
"02.01.2023 05:00 - 02.01.2023 06:00","1365","1527"
"02.01.2023 06:00 - 02.01.2023 07:00","1425","1570"
"02.01.2023 07:00 - 02.01.2023 08:00","1481","1797"
"02.01.2023 08:00 - 02.01.2023 09:00","1515","1694"
"02.01.2023 09:00 - 02.01.2023 10:00","1538","1606"
"02.01.2023 10:00 - 02.01.2023 11:00","1550","1633"
"02.01.2023 11:00 - 02.01.2023 12:00","1553","1317"
"02.01.2023 12:00 - 02.01.2023 13:00","1569","1331"
"02.01.2023 13:00 - 02.01.2023 14:00","1580","1393"
"02.01.2023 14:00 - 02.01.2023 15:00","1594","1392"
"02.01.2023 15:00 - 02.01.2023 16:00","1609","1599"
"02.01.2023 16:00 - 02.01.2023 17:00","1606","1665"
"02.01.2023 17:00 - 02.01.2023 18:00","1604","1486"
"02.01.2023 18:00 - 02.01.2023 19:00","1585","1310"
"02.01.2023 19:00 - 02.01.2023 20:00","1575","1353"
"02.01.2023 20:00 - 02.01.2023 21:00","1560","1335"
"02.01.2023 21:00 - 02.01.2023 22:00","1546","1216"
"02.01.2023 22:00 - 02.01.2023 23:00","1509","1247"
"02.01.2023 23:00 - 03.01.2023 00:00","1483","1609"
